"Name of the Institution","Program","Level","Accreditation Status","Accreditation Period"
"GNANAMANI COLLEGE OF TECHNOLOGY (Namakkal)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"GNANAMANI COLLEGE OF TECHNOLOGY (Namakkal)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"GNANAMANI COLLEGE OF TECHNOLOGY (Namakkal)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.27-7-2006"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.27-7-2006"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","METALLURGICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"GOVERNMENT COLLEGE OF ENGINEERING (SALEM)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"GOVERNMENT COLLEGE OF ENGINEERING (Tirunelveli)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"GOVERNMENT COLLEGE OF ENGINEERING (Tirunelveli)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"GOVERNMENT COLLEGE OF ENGINEERING (Tirunelveli)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"GOVERNMENT COLLEGE OF ENGINEERING (Tirunelveli)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"Government College of Engineering, Bargur (Dharmapuri)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, upto 30-06-2024"
"Government College of Engineering, Bargur (Dharmapuri)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, upto 30-06-2024"
"Government College of Engineering, Bargur (Dharmapuri)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018"
"Government College of Engineering, Bargur (Dharmapuri)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"Government College of Engineering, Bargur (Dharmapuri)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2014-15, 2015-16 and 2016-17, i.e., upto 30-06-2017; Further Accredited for 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 14-03-2005"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 14-03-2005"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 14-03-2005"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 14-03-2005"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVERNMENT COLLEGE OF TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 20-7-2005"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 20-7-2005"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 20-7-2005"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-7-2008"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-7-2008"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 17-09-2009"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 17-09-2009"
"GOVT.COLLEG OF ENGINEERING (TIRUNELVELI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 17-09-2009"
"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY (Tiruvallur)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 15-06-2001"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 15-06-2001"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","CIVIL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 15-06-2001"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 15-06-2001"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 15-06-2001"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","CIVIL ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 years w.e.f 15.02.2005"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","AERONAUTICAL ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","CIVIL ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Hindustan Institute of Technology and Science (Earlier known as Hindustan College of Engineering) (Kanchipuram)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.4-5-2007"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.4-5-2007"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.4-5-2007"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.29-5-2009"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.29-5-2009"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (Coimbotore)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021; Further Accredited for Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (Coimbotore)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021; Further Accredited for Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (Coimbotore)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021; Further Accredited for Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (Coimbotore)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021; Further Accredited for Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (Coimbotore)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021; Further Accredited for Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Hindusthan Institute of Technology (Coimbotore)","Aeronautical Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"Hindusthan Institute of Technology (Coimbotore)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"Hindusthan Institute of Technology (Coimbotore)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"Hindusthan Institute of Technology (Coimbotore)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"Hindusthan Institute of Technology (Coimbotore)","Information Technology","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.19-7-2008"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.19-7-2008"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.19-7-2008"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.19-7-2008"
"IFET COLLEGE OF ENGINEERING (VILLUPURAM)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.19-7-2008"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.27-7-2006"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.27-7-2006"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.27-7-2006"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY (ERODE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 24-04-2002"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 24-04-2002"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-02-2005"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","PRODUCTION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-02-2005"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-03-2007"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-03-2007"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 16-03-2007"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-03-2007"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-07-2008"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","PRODUCTION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-04-2009"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-04-2009"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","MECHANICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","CIVIL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"J.J.COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","PRODUCTION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"Jai Shriram Engineering College (Coimbotore)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024; Further Accredited for 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"Jai Shriram Engineering College (Coimbotore)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024; Further Accredited for 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"JAYA ENGINEERING COLLEGE (CHENNAI)","TEXTILE TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"JAYA ENGINEERING COLLEGE (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"JAYA ENGINEERING COLLEGE (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"JAYA ENGINEERING COLLEGE (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"JAYA ENGINEERING COLLEGE (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"JAYA ENGINEERING COLLEGE (CHENNAI)","TEXTILE TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 04-01-2013"
"JAYA ENGINEERING COLLEGE (CHENNAI)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"JAYA ENGINEERING COLLEGE (CHENNAI)","Textile Technology","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.14-5-2007"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.14-5-2007"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.14-5-2007"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.18-1-2011"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 18-09-2013"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-02-2014"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","MECHANICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-02-2014"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 04-02-2014"
"JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY (Dharmapuri)","INFORMATION TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 04-02-2014"
"Jayaraj Annapackiam CSI College of Engineering (Thoothkudi)","Computer Science and Engineering","Under Graduate","ACCREDITED","Accredited for Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUCHIRAPPALLI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
